Title,Type,BodyPart,Level,Time,Sets,B_Reps,I_Reps
30 Chest Push-Up To Isometric Hold,Strength,Chest,Intermediate,3,3,10,20
30 Chest Push-Up,Strength,Chest,Intermediate,3,3,10,20
30 Chest Bench Push-Up,Strength,Chest,Intermediate,3,3,10,20
MetaBurn 3-Phase Push-Up,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Fast Feet To Push-Up,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Judo Push-Up To Pike Push-Up,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Pike Push-Up,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Push-Up To Frogger,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Push-Up With Hand Side-Step,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Push-Up With Hand-Up Rotation,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Sphinx Push-Up,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Spiderman Push-Up,Strength,Chest,Intermediate,3,3,10,20
Roberston Push-up to Down Dog,Strength,Chest,Intermediate,3,3,10,20
FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex,Strength,Chest,Intermediate,3,3,10,20
ACFT Hand-release push-up,Strength,Chest,Intermediate,3,3,10,20
1.5-rep push-up,Strength,Chest,Intermediate,3,3,10,20
ACFT Triple-clap push-up,Strength,Chest,Intermediate,3,3,10,20
ACFT Superman push-up,Strength,Chest,Intermediate,3,3,10,20
Cross-over push-up,Strength,Chest,Intermediate,3,3,10,20
Mountain climber,Plyometrics,Core,Intermediate,3,3,10,20
Wall mountain climber,Plyometrics,Core,Intermediate,3,3,10,20
Slalom jumps,Plyometrics,Core,Intermediate,3,3,10,20
Elbow plank,Strength,Core,Intermediate,1,3,30,60
Bottoms Up,Strength,Core,Intermediate,3,3,10,20
Spider crawl,Strength,Core,Intermediate,3,3,10,20
Cocoons,Strength,Core,Intermediate,3,3,10,20
Cross-Body Crunch,Strength,Core,Intermediate,3,3,10,20
Elbow-to-knee crunch,Strength,Core,Intermediate,3,3,10,20
Decline Crunch,Strength,Core,Intermediate,3,3,10,20
Hanging toes-to-bar,Strength,Core,Intermediate,3,3,10,20
Hanging Oblique Knee Raise,Strength,Core,Intermediate,3,3,10,20
Gorilla Chin/Crunch,Strength,Core,Beginner,3,3,10,20
Hanging leg raise,Strength,Core,Intermediate,3,3,10,20
Ab bicycle,Strength,Core,Intermediate,3,3,10,20
3/4 sit-up,Strength,Core,Intermediate,3,3,10,20
Reverse crunch,Strength,Core,Intermediate,3,3,10,20
Crunches,Strength,Core,Intermediate,3,3,10,20
Dead bug reach,Strength,Core,Intermediate,3,3,10,20
Crunch - Hands Overhead,Strength,Core,Beginner,3,3,10,20
V-up,Strength,Core,Intermediate,3,3,10,20
Russian twist,Strength,Core,Intermediate,3,3,10,20
Flat Bench Lying Leg Raise,Strength,Core,Intermediate,3,3,10,20
Knees tucked crunch,Strength,Core,Intermediate,3,3,10,20
Butt-Ups,Strength,Core,Beginner,3,3,10,20
Feet-elevated oblique crunch,Strength,Core,Intermediate,3,3,10,20
Bent-knee reverse crunch,Strength,Core,Intermediate,3,3,10,20
Alternating heel-touch,Strength,Core,Intermediate,3,3,10,20
Suspended Reverse Crunch,Strength,Core,Intermediate,3,3,10,20
Lying bench reverse crunch,Strength,Core,Intermediate,3,3,10,20
Sit-up,Strength,Core,Intermediate,3,3,10,20
Side Bridge,Strength,Core,Intermediate,3,3,10,20
Lying oblique crunch,Strength,Core,Intermediate,3,3,10,20
Janda Sit-Up,Strength,Core,Beginner,3,3,10,20
Leg Pull-In,Strength,Core,Beginner,3,3,10,20
Side Jackknife,Strength,Core,Intermediate,3,3,10,20
Seated Scissor Kick,Strength,Core,Intermediate,3,3,10,20
Partner resistance standing twist,Strength,Core,Intermediate,3,3,10,20
Cross Crunch,Strength,Core,Beginner,3,3,10,20
Full Moon,Strength,Core,Beginner,3,3,10,20
